Net Revenue,LEAD_STATUS,RGN_NAME,MKT_UNIT,LOC_NAME,DIV_NAME,NUM_UNITS,BU_NAME,RATING,FF_YRS_IN_BUS_CD,PRE_OPEN,CHAIN,CITY_CE,COUNTY_CE,STATE_CE,ZIP_CE,LATITUDE,LONGITUDE,FOUNTAIN_FLAG,Prestige account,Prestige Account Name,CITY,COUNTY,STATE,ZIP
1327.74,0,7865.829603,6002.782389,5812.210843,5214.338214,1,6556.890311,5,6978.113877,0,0,6365.495347,6365.495347,5560.1332219999995,6367.428312,34.36369324,-92.7658844,1,0,,MALVERN,Hot spring,AR,72104
2752.6,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6488.998113000001,6529.2969219999995,7043.0101859999995,6488.998113000001,36.3219296,-100.9651341,1,0,,Farnsworth,Ochiltree,TX,79033
1295.05,0,7461.945589,4281.759279999999,5910.558625,8429.882068,1,6556.890311,3.5,6978.113877,0,0,6450.3197,6291.15569,5151.664364,6450.3197,45.157238,-93.361118,1,0,,CHAMPLIN,Hennepin,MN,55316
10814.83,0,6798.068420999999,6136.680429999999,6158.82478,5998.469353,1,6556.890311,1,6102.208892000001,0,0,6521.524884,6497.188593,5334.681265,6529.327896,38.3208648,-104.6179098,1,0,,PUEBLO,Pueblo,CO,81008
1656.55,0,5423.024702000001,7432.699823000001,6708.61608,5214.338214,1,6556.890311,0,7228.420638,0,0,6393.107373,6564.705827000001,6764.412656999999,6393.107373,34.4467701,-82.3837915,1,0,,HONEA PATH,ANDERSON,SC,29654
849.57,0,4245.9674270000005,4777.168942,6322.015338,6249.421725,1,6556.890311,5,7228.420638,0,0,6439.985896,6491.802113000001,6210.049811999999,6491.802113000001,43.803875,-73.305397,1,0,,ORWELL,Addison,VT,5760
692.7,0,7461.945589,4281.759279999999,5703.778215,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6472.989004,6298.926917,4530.297843,6472.989004,42.9881564,-87.9575567,1,1,Potawatomi Casino,Milwaukee,Milwaukee,WI,53215
2006.72,0,6798.068420999999,6136.680429999999,7185.040937000001,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6868.963729000001,6735.062931999999,5334.681265,6664.590964999999,39.07805,-108.5519686,1,0,,GRAND JCT,Mesa,CO,81501
14104.65,0,5409.862755,7459.802928,6648.993659000001,5998.469353,1,6344.897185,1,6102.208892000001,0,0,6621.966694,7101.220475,5174.348076,6621.966694,36.3116623,-119.7090749,0,0,,Armona,Kings,CA,93202
331.7,0,6798.068420999999,6136.680429999999,6422.899708,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6470.045307,6421.431269,5334.681265,6470.045307,39.628353,-106.421756,1,0,,VAIL,Eagle,CO,81657
766.21,0,6798.068420999999,6430.99364,5923.061235,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6470.695321,6200.376321,5899.296011,6470.695321,47.7586893,-116.7870126,1,0,,HAYDEN,Kootenai,ID,83835
4207.63,0,7461.945589,4856.990025,6602.506778,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6444.46751,6506.215365999999,11741.65518,6444.46751,41.3876909,-86.582682,1,0,,HAMLET,Starke,IN,46532
14138.96,0,5544.12736,6439.48451,7414.180754999999,5214.338214,5,6556.890311,0,7228.420638,0,1,7248.495909,7896.341006999999,5816.8127810000005,6633.002033,35.93167114,-84.14676666,1,0,,KNOXVILLE,KNOX,TN,37932
0.0,0,5544.12736,6439.48451,7414.180754999999,5214.338214,6,6556.890311,0,6102.208892000001,0,1,6459.359007,6412.937844,5816.8127810000005,6459.359007,35.3220837,-84.5258609,1,0,,ETOWAH,Mcminn,TN,37331
237.35,0,5423.024702000001,7432.699823000001,7697.646662,5214.338214,6,6556.890311,0,6456.673755,0,1,6581.073565,6740.262032,5394.8608509999995,6581.073565,32.10748291,-81.22857666,1,0,,POOLER,CHATHAM,GA,31322
12139.73,0,5544.12736,6041.264681000001,6504.661627,5214.338214,5,6556.890311,2,7228.420638,0,1,6579.012205,6228.796545,5019.174027,6579.012205,39.83586884,-77.90464783,1,0,,MERCERSBURG,Franklin,PA,17236
5657.28,0,6798.068420999999,6430.99364,9266.789664,5998.469353,1,6344.897185,0,7228.420638,0,0,7847.672912000001,7673.332146,7497.67897,6872.317281000001,42.4348632,-123.3518627,0,0,,GRANTS PASS,Josephine,OR,97526
